서울,부산,대구,인천,광주,대전,울산,경기,강원,충북,충남,전북,전남,경북,경남,제주,세종
3119696.0,1349658.0,1165890.0,1537591.0,654938.0,663517.0,554810.0,5481236.0,754887.0,799311.0,1074514.0,902164.0,1011138.0,1405917.0,1681260.0,521427.0,138814.0
3120469.0,1353065.0,1169274.0,1543895.0,656724.0,664639.0,555362.0,5501802.0,757152.0,801579.0,1078379.0,905265.0,1014986.0,1408400.0,1683948.0,526584.0,140512.0
3121497.0,1356553.0,1171042.0,1548964.0,658381.0,665977.0,555983.0,5521232.0,759804.0,803924.0,1081773.0,907900.0,1018390.0,1411174.0,1686718.0,532838.0,141844.0
3121532.0,1358638.0,1171803.0,1553504.0,659551.0,666895.0,556309.0,5537623.0,761597.0,805791.0,1084228.0,909819.0,1019952.0,1413199.0,1688694.0,537170.0,143350.0
3123924.0,1361064.0,1173853.0,1558567.0,660837.0,668089.0,556948.0,5555622.0,763415.0,807826.0,1086694.0,911528.0,1022818.0,1415766.0,1689257.0,541692.0,144678.0
3123896.0,1363704.0,1174278.0,1564608.0,662378.0,668645.0,557340.0,5575139.0,764592.0,810276.0,1088961.0,912784.0,1024496.0,1417838.0,1690979.0,545390.0,146023.0
3123702.0,1369410.0,1176887.0,1569602.0,663799.0,669668.0,558034.0,5600152.0,766389.0,812451.0,1091871.0,914690.0,1028122.0,1420399.0,1693663.0,550014.0,147002.0
3124651.0,1371172.0,1178353.0,1577607.0,664316.0,669959.0,558106.0,5617611.0,766374.0,814698.0,1093638.0,915944.0,1032074.0,1422157.0,1694448.0,553578.0,147869.0
3128420.0,1374237.0,1180280.0,1585866.0,666311.0,670964.0,559108.0,5641689.0,768981.0,818127.0,1097235.0,918657.0,1034777.0,1426204.0,1698317.0,557130.0,149711.0
3128962.0,1377773.0,1179956.0,1589791.0,666658.0,670398.0,559599.0,5642849.0,769915.0,820163.0,1099605.0,920004.0,1035367.0,1427937.0,1697492.0,559875.0,151344.0
3127236.0,1379051.0,1181477.0,1592114.0,668127.0,670970.0,560436.0,5648632.0,770150.0,820869.0,1101645.0,920584.0,1037073.0,1429670.0,1697776.0,563469.0,152995.0
3124289.0,1379485.0,1178908.0,1596103.0,668564.0,671172.0,561228.0,5657404.0,771424.0,825341.0,1102985.0,921596.0,1039266.0,1430821.0,1700564.0,566123.0,154037.0
3121807.0,1381685.0,1179594.0,1602665.0,669489.0,670929.0,561418.0,5672997.0,773189.0,827030.0,1105040.0,923764.0,1041049.0,1433106.0,1704100.0,569848.0,154911.0
3120332.0,1384087.0,1180955.0,1609398.0,670512.0,671039.0,562106.0,5691619.0,775340.0,828862.0,1107206.0,925574.0,1043683.0,1435458.0,1707551.0,574361.0,156082.0
3121140.0,1385252.0,1182351.0,1617597.0,672166.0,671788.0,563035.0,5710355.0,777558.0,831244.0,1109552.0,926422.0,1046210.0,1437795.0,1711514.0,579297.0,157498.0
3120892.0,1387243.0,1184063.0,1618821.0,673404.0,671871.0,563684.0,5724979.0,779605.0,833182.0,1111491.0,928198.0,1048160.0,1440087.0,1713986.0,583222.0,158650.0
3121687.0,1389650.0,1185649.0,1620746.0,674470.0,672494.0,564365.0,5730156.0,781072.0,835104.0,1114620.0,928868.0,1050910.0,1442658.0,1717885.0,585258.0,159691.0
3121416.0,1388608.0,1188000.0,1626363.0,675189.0,672772.0,564232.0,5737503.0,780527.0,836367.0,1115906.0,926653.0,1052808.0,1442841.0,1715314.0,588305.0,161210.0
3122433.0,1391928.0,1190399.0,1630074.0,675894.0,673178.0,564813.0,5752090.0,781620.0,837197.0,1116490.0,927129.0,1054290.0,1443922.0,1717767.0,592565.0,162354.0
